Nome Carta,Numero Carta,Prezzo,Info Holo,Rarità,Edition,Set
Torkoal,18/108, 1.80,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Heatmor,19/108, 0.99,Non-Holo,Rare,Unlimited,Dark Explorers
Heatmor,19/108, 2.83,Reverse Holo,Rare,Unlimited,Dark Explorers
Larvesta,20/108, 0.50,Non-Holo,Common,Unlimited,Dark Explorers
Larvesta,20/108, 0.85,Reverse Holo,Common,Unlimited,Dark Explorers
Larvesta,21/108, 0.70,Non-Holo,Common,Unlimited,Dark Explorers
Larvesta,21/108, 0.85,Reverse Holo,Common,Unlimited,Dark Explorers
Volcarona,22/108, 4.04,Holo,Rare Holo,Unlimited,Dark Explorers
Volcarona,22/108,NO DATA YET!,Reverse Holo,Rare Holo,Unlimited,Dark Explorers
Slowpoke,23/108, 1.34,Non-Holo,Common,Unlimited,Dark Explorers
Slowpoke,23/108, 2.45,Reverse Holo,Common,Unlimited,Dark Explorers
Slowbro,24/108, 2.72,Non-Holo,Uncommon,Unlimited,Dark Explorers
Slowbro,24/108, 1.09,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Vaporeon,25/108, 3.38,Non-Holo,Uncommon,Unlimited,Dark Explorers
Vaporeon,25/108,NO DATA YET!,Reverse Holo,Promo,Regional Championships,Dark Explorers
Vaporeon,25/108, 12.50,Reverse Holo,Promo,State Championships,Dark Explorers
Vaporeon,25/108,NO DATA YET!,Reverse Holo,Promo,Staff Regional Championships,Dark Explorers
Vaporeon,25/108,NO DATA YET!,Reverse Holo,Promo,Staff States Championships,Dark Explorers
Vaporeon,25/108, 8.23,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Kyogre EX,26/108, 10.35,Holo,Rare Holo EX,Unlimited,Dark Explorers
Piplup,27/108, 0.04,Non-Holo,Common,Unlimited,Dark Explorers
Piplup,27/108, 3.63,Reverse Holo,Common,Unlimited,Dark Explorers
Prinplup,28/108, 0.04,Non-Holo,Uncommon,Unlimited,Dark Explorers
Prinplup,28/108, 0.85,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Empoleon,29/108, 3.88,Holo,Rare Holo,Unlimited,Dark Explorers
Empoleon,29/108, 0.04,Non-Holo,Promo,Exclusive,Dark Explorers
Empoleon,29/108, 9.25,Reverse Holo,Rare Holo,Unlimited,Dark Explorers
Glaceon,30/108, 2.85,Non-Holo,Rare,Unlimited,Dark Explorers
Glaceon,30/108, 5.32,Reverse Holo,Rare,Unlimited,Dark Explorers
Tympole,31/108, 0.55,Non-Holo,Common,Unlimited,Dark Explorers
Tympole,31/108, 1.50,Reverse Holo,Common,Unlimited,Dark Explorers
Palpitoad,32/108, 0.05,Non-Holo,Uncommon,Unlimited,Dark Explorers
Palpitoad,32/108, 1.05,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Vanillite,33/108, 0.05,Non-Holo,Common,Unlimited,Dark Explorers
Vanillite,33/108,NO DATA YET!,Reverse Holo,Common,Unlimited,Dark Explorers
Vanillish,34/108, 1.32,Non-Holo,Uncommon,Unlimited,Dark Explorers
Vanillish,34/108, 2.50,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Ducklett,35/108, 0.94,Non-Holo,Common,Unlimited,Dark Explorers
Ducklett,35/108, 1.40,Reverse Holo,Common,Unlimited,Dark Explorers
Swanna,36/108, 1.83,Non-Holo,Rare,Unlimited,Dark Explorers
Swanna,36/108, 2.32,Reverse Holo,Rare,Unlimited,Dark Explorers
Jolteon,37/108, 3.04,Non-Holo,Uncommon,Unlimited,Dark Explorers
Jolteon,37/108,NO DATA YET!,Reverse Holo,Promo,Regional Championships,Dark Explorers
Jolteon,37/108,NO DATA YET!,Reverse Holo,Promo,Staff Regional Championships,Dark Explorers
Jolteon,37/108, 14.09,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Raikou EX,38/108, 13.00,Holo,Rare Holo EX,Unlimited,Dark Explorers
Plusle,39/108, 1.74,Non-Holo,Common,Unlimited,Dark Explorers
Plusle,39/108, 2.04,Reverse Holo,Common,Unlimited,Dark Explorers
Minun,40/108, 1.65,Non-Holo,Common,Unlimited,Dark Explorers
Minun,40/108, 3.04,Reverse Holo,Common,Unlimited,Dark Explorers
Joltik,41/108,NO DATA YET!,Non-Holo,Common,Unlimited,Dark Explorers
Joltik,41/108, 0.75,Reverse Holo,Common,Unlimited,Dark Explorers
Joltik,42/108, 1.07,Non-Holo,Common,Unlimited,Dark Explorers
Joltik,42/108, 2.30,Reverse Holo,Common,Unlimited,Dark Explorers
Galvantula,43/108, 0.59,Non-Holo,Rare,Unlimited,Dark Explorers
Galvantula,43/108, 1.88,Reverse Holo,Rare,Unlimited,Dark Explorers
Tynamo,44/108, 1.50,Non-Holo,Common,Unlimited,Dark Explorers
Tynamo,44/108, 0.85,Reverse Holo,Common,Unlimited,Dark Explorers
Tynamo,45/108, 1.09,Non-Holo,Common,Unlimited,Dark Explorers
Tynamo,45/108,NO DATA YET!,Reverse Holo,Common,Unlimited,Dark Explorers
Eelektrik,46/108,NO DATA YET!,Non-Holo,Uncommon,Unlimited,Dark Explorers
Eelektrik,46/108, 1.05,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Eelektross,47/108, 1.75,Holo,Rare Holo,Unlimited,Dark Explorers
Eelektross,47/108, 0.99,Reverse Holo,Rare Holo,Unlimited,Dark Explorers
Espeon,48/108, 3.52,Non-Holo,Rare,Unlimited,Dark Explorers
Espeon,48/108, 6.00,Reverse Holo,Promo,National Championships,Dark Explorers
Espeon,48/108, 225,Reverse Holo,Promo,Staff National Championships,Dark Explorers
Espeon,48/108, 14.04,Reverse Holo,Rare,Unlimited,Dark Explorers
Slowking,49/108, 2.40,Non-Holo,Rare,Unlimited,Dark Explorers
Slowking,49/108, 6.09,Reverse Holo,Rare,Unlimited,Dark Explorers
Woobat,50/108,NO DATA YET!,Non-Holo,Common,Unlimited,Dark Explorers
Woobat,50/108, 2.00,Reverse Holo,Common,Unlimited,Dark Explorers
Yamask,51/108, 1.45,Non-Holo,Uncommon,Unlimited,Dark Explorers
Yamask,51/108, 7.44,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Cofagrigus,52/108, 5.04,Holo,Promo,Cracked Ice Holo,Dark Explorers
Cofagrigus,52/108, 3.55,Non-Holo,Rare,Unlimited,Dark Explorers
Cofagrigus,52/108, 0.72,Reverse Holo,Rare,Unlimited,Dark Explorers
Aerodactyl,53/108, 2.56,Non-Holo,Rare,Unlimited,Dark Explorers
Aerodactyl,53/108, 4.23,Reverse Holo,Rare,Unlimited,Dark Explorers
Groudon EX,54/108, 13.99,Holo,Rare Holo EX,Unlimited,Dark Explorers
Drilbur,55/108, 1.09,Non-Holo,Common,Unlimited,Dark Explorers
Drilbur,55/108, 1.50,Reverse Holo,Common,Unlimited,Dark Explorers
Excadrill,56/108, 1.38,Non-Holo,Rare,Unlimited,Dark Explorers
Excadrill,56/108, 1.68,Reverse Holo,Rare,Unlimited,Dark Explorers
Excadrill,57/108, 1.90,Non-Holo,Rare,Unlimited,Dark Explorers
Excadrill,57/108, 2.13,Reverse Holo,Rare,Unlimited,Dark Explorers
Timburr,58/108, 1.07,Non-Holo,Common,Unlimited,Dark Explorers
Timburr,58/108, 0.85,Reverse Holo,Common,Unlimited,Dark Explorers
Gurdurr,59/108, 0.95,Non-Holo,Uncommon,Unlimited,Dark Explorers
Gurdurr,59/108, 0.85,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Umbreon,60/108, 8.37,Non-Holo,Uncommon,Unlimited,Dark Explorers
Umbreon,60/108, 10.00,Reverse Holo,Promo,Regional Championships,Dark Explorers
Umbreon,60/108,NO DATA YET!,Reverse Holo,Promo,Staff Regional Championships,Dark Explorers
Umbreon,60/108, 3.09,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Umbreon,61/108, 7.09,Non-Holo,Uncommon,Unlimited,Dark Explorers
Umbreon,61/108, 15.94,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Sableye,62/108, 0.04,Non-Holo,Uncommon,Unlimited,Dark Explorers
Sableye,62/108, 1.35,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Darkrai EX,63/108, 8.06,Holo,Rare Holo EX,Unlimited,Dark Explorers
Sandile,64/108, 1.50,Non-Holo,Common,Unlimited,Dark Explorers
Sandile,64/108, 0.75,Reverse Holo,Common,Unlimited,Dark Explorers
Krokorok,65/108,NO DATA YET!,Non-Holo,Uncommon,Unlimited,Dark Explorers
Krokorok,65/108, 0.85,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Krookodile,66/108,NO DATA YET!,Holo,Promo,Cosmos Holo,Dark Explorers
Krookodile,66/108, 2.92,Holo,Rare Holo,Unlimited,Dark Explorers
Krookodile,66/108,NO DATA YET!,Non-Holo,Promo,Exclusive,Dark Explorers
Krookodile,66/108, 4.60,Reverse Holo,Rare Holo,Unlimited,Dark Explorers
Scraggy,67/108, 1.07,Non-Holo,Common,Unlimited,Dark Explorers
Scraggy,67/108,NO DATA YET!,Reverse Holo,Promo,Mirror Promo,Dark Explorers
Scraggy,67/108, 1.40,Reverse Holo,Common,Unlimited,Dark Explorers
Scrafty,68/108, 0.75,Non-Holo,Rare,Unlimited,Dark Explorers
Scrafty,68/108, 1.59,Reverse Holo,Rare,Unlimited,Dark Explorers
Zorua,69/108, 2.39,Non-Holo,Common,Unlimited,Dark Explorers
Zorua,69/108, 1.09,Reverse Holo,Common,Unlimited,Dark Explorers
Zorua,70/108, 1.39,Non-Holo,Common,Unlimited,Dark Explorers
Zorua,70/108, 3.25,Reverse Holo,Common,Unlimited,Dark Explorers
Zoroark,71/108, 7.29,Holo,Promo,Cracked Ice Holo,Dark Explorers
Zoroark,71/108, 1.45,Non-Holo,Rare,Unlimited,Dark Explorers
Zoroark,71/108, 0.79,Reverse Holo,Rare,Unlimited,Dark Explorers
Bisharp,72/108, 1.10,Non-Holo,Rare,Unlimited,Dark Explorers
Bisharp,72/108, 1.25,Reverse Holo,Rare,Unlimited,Dark Explorers
Vullaby,73/108, 0.05,Non-Holo,Uncommon,Unlimited,Dark Explorers
Vullaby,73/108, 1.80,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Escavalier,74/108, 1.16,Non-Holo,Rare,Unlimited,Dark Explorers
Escavalier,74/108, 1.25,Reverse Holo,Rare,Unlimited,Dark Explorers
Klink,75/108,NO DATA YET!,Non-Holo,Common,Unlimited,Dark Explorers
Klink,75/108,NO DATA YET!,Reverse Holo,Common,Unlimited,Dark Explorers
Klang,76/108, 0.94,Non-Holo,Uncommon,Unlimited,Dark Explorers
Klang,76/108, 2.30,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Klinklang,77/108, 1.80,Holo,Rare Holo,Unlimited,Dark Explorers
Klinklang,77/108, 1.09,Reverse Holo,Rare Holo,Unlimited,Dark Explorers
Pawniard,78/108, 0.94,Non-Holo,Common,Unlimited,Dark Explorers
Pawniard,78/108, 1.15,Reverse Holo,Common,Unlimited,Dark Explorers
Bisharp,79/108, 0.99,Non-Holo,Rare,Unlimited,Dark Explorers
Bisharp,79/108, 0.55,Reverse Holo,Rare,Unlimited,Dark Explorers
Chansey,80/108, 0.94,Non-Holo,Common,Unlimited,Dark Explorers
Chansey,80/108, 4.74,Reverse Holo,Common,Unlimited,Dark Explorers
Chansey,81/108, 1.65,Non-Holo,Common,Unlimited,Dark Explorers
Chansey,81/108, 3.05,Reverse Holo,Common,Unlimited,Dark Explorers
Blissey,82/108, 1.36,Holo,Rare Holo,Unlimited,Dark Explorers
Blissey,82/108, 0.04,Non-Holo,Promo,Exclusive,Dark Explorers
Blissey,82/108, 2.14,Reverse Holo,Rare Holo,Unlimited,Dark Explorers
Eevee,83/108, 2.11,Non-Holo,Common,Unlimited,Dark Explorers
Eevee,83/108, 14.95,Reverse Holo,Common,Unlimited,Dark Explorers
Eevee,84/108, 1.73,Non-Holo,Common,Unlimited,Dark Explorers
Eevee,84/108, 13.95,Reverse Holo,Promo,City Championships,Dark Explorers
Eevee,84/108,NO DATA YET!,Reverse Holo,Promo,Staff City Championships,Dark Explorers
Eevee,84/108, 14.04,Reverse Holo,Common,Unlimited,Dark Explorers
Chatot,85/108, 0.05,Non-Holo,Uncommon,Unlimited,Dark Explorers
Chatot,85/108, 1.80,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Lillipup,86/108, 0.70,Non-Holo,Common,Unlimited,Dark Explorers
Lillipup,86/108, 1.80,Reverse Holo,Common,Unlimited,Dark Explorers
Herdier,87/108, 0.09,Non-Holo,Uncommon,Unlimited,Dark Explorers
Herdier,87/108, 1.50,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Stoutland,88/108, 1.20,Non-Holo,Rare,Unlimited,Dark Explorers
Stoutland,88/108, 1.59,Reverse Holo,Rare,Unlimited,Dark Explorers
Haxorus,89/108, 3.52,Holo,Rare Holo,Unlimited,Dark Explorers
Haxorus,89/108, 4.05,Reverse Holo,Rare Holo,Unlimited,Dark Explorers
Tornadus EX,90/108, 3.95,Holo,Rare Holo EX,Unlimited,Dark Explorers
Cheren,91/108, 0.09,Non-Holo,Uncommon,Unlimited,Dark Explorers
Cheren,91/108, 1.33,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Dark Claw,92/108, 2.12,Non-Holo,Uncommon,Unlimited,Dark Explorers
Dark Claw,92/108, 3.63,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Dark Patch,93/108, 7.94,Non-Holo,Uncommon,Unlimited,Dark Explorers
Dark Patch,93/108, 11.10,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Enhanced Hammer,94/108, 1.88,Non-Holo,Uncommon,Unlimited,Dark Explorers
Enhanced Hammer,94/108, 1.37,Reverse Holo,Promo,League Promo,Dark Explorers
Enhanced Hammer,94/108,NO DATA YET!,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Hooligans Jim & Cas,95/108, 1.19,Non-Holo,Uncommon,Unlimited,Dark Explorers
Hooligans Jim & Cas,95/108, 2.00,Reverse Holo,Uncommon,Unlimited,Dark Explorers
N,96/108, 1.80,Non-Holo,Uncommon,Unlimited,Dark Explorers
N,96/108, 2.50,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Old Amber Aerodactyl,97/108, 0.94,Non-Holo,Uncommon,Unlimited,Dark Explorers
Old Amber Aerodactyl,97/108, 3.95,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Professor Juniper,98/108, 1.20,Non-Holo,Uncommon,Unlimited,Dark Explorers
Professor Juniper,98/108,NO DATA YET!,Reverse Holo,Promo,Professor Program,Dark Explorers
Professor Juniper,98/108, 2.49,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Random Receiver,99/108, 0.04,Non-Holo,Uncommon,Unlimited,Dark Explorers
Random Receiver,99/108,NO DATA YET!,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Rare Candy,100/108, 0.80,Non-Holo,Uncommon,Unlimited,Dark Explorers
Rare Candy,100/108, 1.60,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Twist Mountain,101/108, 1.18,Non-Holo,Uncommon,Unlimited,Dark Explorers
Twist Mountain,101/108, 3.04,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Ultra Ball,102/108, 0.04,Non-Holo,Uncommon,Unlimited,Dark Explorers
Ultra Ball,102/108, 0.94,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Entei EX,103/108, 67.02,Holo,Rare Ultra,Unlimited,Dark Explorers
Kyogre EX,104/108, 84.04,Holo,Rare Ultra,Unlimited,Dark Explorers
Raikou EX,105/108, 99.04,Holo,Rare Ultra,Unlimited,Dark Explorers
Groudon EX,106/108, 30.73,Holo,Rare Ultra,Unlimited,Dark Explorers
Darkrai EX,107/108, 62.00,Holo,Rare Ultra,Unlimited,Dark Explorers
Tornadus EX,108/108, 24.52,Holo,Rare Ultra,Unlimited,Dark Explorers
Gardevoir,109/108, 170,Holo,Secret Rare,Unlimited,Dark Explorers
Archeops,110/108, 26.28,Holo,Secret Rare,Unlimited,Dark Explorers
Pokemon Catcher,111/108, 31.78,Holo,Secret Rare,Unlimited,Dark Explorers
Treecko, 1/12, 8.95,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Lotad, 2/12, 8.95,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Torchic, 3/12,NO DATA YET!,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Staryu, 4/12,NO DATA YET!,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Mudkip, 5/12, 1.64,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Pikachu, 6/12, 7.15,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Electrike, 7/12, 1.64,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Rhyhorn, 8/12, 1.64,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Meditite, 9/12,NO DATA YET!,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Marill, 10/12, 7.95,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Zigzagoon, 11/12, 12.04,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Skitty, 12/12, 11.55,Holo,Promo,McDonald's Collection,McDonald's Collection 2015
Snivy,BW01, 3.64,Holo,Promo,Black Star,BW Black Star Promos
Tepig,BW02, 4.90,Holo,Promo,Black Star,BW Black Star Promos
Oshawott,BW03, 3.27,Holo,Promo,Black Star,BW Black Star Promos
Reshiram,BW04, 1.00,Holo,Promo,Black Star,BW Black Star Promos
Zekrom,BW05, 0.95,Holo,Promo,Black Star,BW Black Star Promos
Snivy,BW06, 4.01,Holo,Promo,Black Star,BW Black Star Promos
Tepig,BW07, 2.21,Holo,Promo,Black Star,BW Black Star Promos
Oshawott,BW08, 2.89,Holo,Promo,Black Star,BW Black Star Promos
Zoroark,BW09, 3.12,Holo,Promo,Black Star,BW Black Star Promos
Axew,BW10, 3.54,Holo,Promo,Black Star,BW Black Star Promos
Pansage,BW11, 2.39,Holo,Promo,Black Star,BW Black Star Promos
Zorua,BW12, 4.65,Holo,Promo,Black Star,BW Black Star Promos
Minccino,BW13,NO DATA YET!,Holo,Promo,Shattered Ice Holo,BW Black Star Promos
Minccino,BW13, 9.12,Holo,Promo,Black Star,BW Black Star Promos
Pansage,BW14,NO DATA YET!,Non-Holo,Promo,Black Star,BW Black Star Promos
Pidove,BW15,NO DATA YET!,Non-Holo,Promo,Black Star,BW Black Star Promos
Axew,BW16, 199,Non-Holo,Promo,Black Star,BW Black Star Promos
Ducklett,BW17, 4.24,Holo,Promo,Black Star,BW Black Star Promos
Darumaka,BW18, 3.99,Holo,Promo,Black Star,BW Black Star Promos
Zoroark,BW19, 2.50,Holo,Promo,Black Star,BW Black Star Promos
Serperior,BW20, 2.44,Holo,Promo,Black Star,BW Black Star Promos
Emboar,BW21, 3.50,Holo,Promo,Black Star,BW Black Star Promos
Samurott,BW22, 3.68,Holo,Promo,Black Star,BW Black Star Promos
Reshiram,BW23, 0.99,Holo,Promo,Black Star,BW Black Star Promos
Zekrom,BW24, 4.99,Holo,Promo,Black Star,BW Black Star Promos
Scraggy,BW25, 4.01,Holo,Promo,Black Star,BW Black Star Promos
Axew,BW26, 4.77,Holo,Promo,Black Star,BW Black Star Promos
Litwick,BW27, 3.10,Holo,Promo,Black Star,BW Black Star Promos
Tropical Beach,BW28,NO DATA YET!,Non-Holo,Promo,Quarter-Finalist Worlds Promo,BW Black Star Promos
Tropical Beach,BW28,NO DATA YET!,Non-Holo,Promo,Semi-Finalist Worlds Promo,BW Black Star Promos
Tropical Beach,BW28, 264,Non-Holo,Promo,Staff Worlds,BW Black Star Promos
Tropical Beach,BW28,NO DATA YET!,Non-Holo,Promo,Top Thirty-Two Worlds Promo,BW Black Star Promos
Tropical Beach,BW28,NO DATA YET!,Non-Holo,Promo,Top Sixteen Worlds Promo,BW Black Star Promos
Tropical Beach,BW28, 2500,Non-Holo,Promo,Worlds Promo,BW Black Star Promos
Tropical Beach,BW28,NO DATA YET!,Non-Holo,Promo,Champion Worlds,BW Black Star Promos
Tropical Beach,BW28,NO DATA YET!,Non-Holo,Promo,Finalist Worlds,BW Black Star Promos
Victory Cup 3rd Place,BW29,NO DATA YET!,Reverse Holo,Promo,Battle Road Autumn 2011,BW Black Star Promos
Victory Cup 3rd Place,BW29,NO DATA YET!,Reverse Holo,Promo,Battle Road Autumn 2012,BW Black Star Promos
Victory Cup 3rd Place,BW29,NO DATA YET!,Reverse Holo,Promo,Battle Road Spring 2012,BW Black Star Promos
Victory Cup 3rd Place,BW29,NO DATA YET!,Reverse Holo,Promo,Battle Road Spring 2013,BW Black Star Promos
Victory Cup 2nd Place,BW30,NO DATA YET!,Reverse Holo,Promo,Battle Road Autumn 2011,BW Black Star Promos
Victory Cup 2nd Place,BW30,NO DATA YET!,Reverse Holo,Promo,Battle Road Autumn 2012,BW Black Star Promos
Victory Cup 2nd Place,BW30,NO DATA YET!,Reverse Holo,Promo,Battle Road Spring 2012,BW Black Star Promos
Victory Cup 2nd Place,BW30,NO DATA YET!,Reverse Holo,Promo,Battle Road Spring 2013,BW Black Star Promos
Victory Cup 1st Place,BW31,NO DATA YET!,Reverse Holo,Promo,Battle Road Autumn 2011,BW Black Star Promos
Victory Cup 1st Place,BW31,NO DATA YET!,Reverse Holo,Promo,Battle Road Autumn 2012,BW Black Star Promos
Victory Cup 1st Place,BW31,NO DATA YET!,Reverse Holo,Promo,Battle Road Spring 2012,BW Black Star Promos
Victory Cup 1st Place,BW31,NO DATA YET!,Reverse Holo,Promo,Battle Road Spring 2013,BW Black Star Promos
Victini,BW32, 8.04,Holo,Promo,Black Star,BW Black Star Promos
Riolu,BW33, 0.94,Non-Holo,Promo,Black Star,BW Black Star Promos
Riolu,BW33, 13.70,Holo,Promo,Black Star,BW Black Star Promos
Luxio,BW34, 5.40,Holo,Promo,Shattered Ice Holo,BW Black Star Promos
Luxio,BW34, 4.02,Holo,Promo,Black Star,BW Black Star Promos
Meowth,BW35, 14.80,Non-Holo,Promo,Black Star,BW Black Star Promos
Reshiram EX,BW36, 2.97,Holo,Promo,Black Star,BW Black Star Promos
Kyurem EX,BW37, 2.99,Holo,Promo,Black Star,BW Black Star Promos
Zekrom EX,BW38, 3.97,Holo,Promo,Black Star,BW Black Star Promos
Battle City,BW39, 0.99,Holo,Promo,Black Star,BW Black Star Promos
Volcarona,BW40, 59.99,Holo,Promo,Staff Prerelease,BW Black Star Promos
Volcarona,BW40, 9.00,Holo,Promo,Black Star,BW Black Star Promos
Thundurus,BW41, 1.04,Holo,Promo,Black Star,BW Black Star Promos
Thundurus,BW41, 3.99,Reverse Holo,Promo,Black Star,BW Black Star Promos
Tornadus,BW42, 1.60,Holo,Promo,Black Star,BW Black Star Promos
Tornadus,BW42, 3.99,Reverse Holo,Promo,Black Star,BW Black Star Promos
Landorus,BW43, 12.00,Holo,Promo,Black Star,BW Black Star Promos
Kyurem,BW44, 4.99,Holo,Promo,Black Star,BW Black Star Promos
Mewtwo EX,BW45, 5.75,Holo,Promo,Black Star,BW Black Star Promos
Darkrai EX,BW46, 3.63,Holo,Promo,Black Star,BW Black Star Promos
Rayquaza EX,BW47, 4.98,Holo,Promo,Black Star,BW Black Star Promos
Altaria,BW48, 21.65,Holo,Promo,Staff Prerelease,BW Black Star Promos
Altaria,BW48, 8.57,Holo,Promo,Black Star,BW Black Star Promos
Lilligant,BW49, 0.99,Non-Holo,Promo,Black Star,BW Black Star Promos
Tropical Beach,BW50,NO DATA YET!,Non-Holo,Promo,Semi-Finalist Worlds Promo,BW Black Star Promos
Tropical Beach,BW50,NO DATA YET!,Non-Holo,Promo,Quarter-Finalist Worlds Promo,BW Black Star Promos
Tropical Beach,BW50,NO DATA YET!,Non-Holo,Promo,Staff Worlds,BW Black Star Promos
Tropical Beach,BW50,NO DATA YET!,Non-Holo,Promo,Top Thirty-Two Worlds Promo,BW Black Star Promos
Tropical Beach,BW50,NO DATA YET!,Non-Holo,Promo,Top Sixteen Worlds Promo,BW Black Star Promos
Tropical Beach,BW50, 59.60,Non-Holo,Promo,Black Star,BW Black Star Promos
